,gdp_growth_rate,unemployment_rate,inflation_rate,target_interest_rate,total_securities_holdings,loan_to_deposit_ratio,deposit_interest_rate,loans_interest_rate,consumer_loan_focus
0,0.009921863631902728,0.036000000000000004,0.009921863631902728,0.012,0.05,0.75,0.01,0.025,0.7
1,0.009254760572441567,0.035,0.009254760572441567,0.01,-0.02,0.85,0.015,0.022,0.75
2,0.009254760572441567,0.035,0.009254760572441567,0.008,0.0,0.8,0.018,0.021999999999999995,0.75
3,0.009254760572441567,0.035,0.009254760572441567,0.007,-0.03,0.85,0.02,0.02,0.8
4,0.009254760572441567,0.035,0.009254760572441567,0.012,0.05,0.78,0.015,0.019999999999999997,0.6
5,0.007516525399813512,0.036000000000000004,0.007516525399813512,,,,,,
6,0.007516525399813512,0.036000000000000004,0.007516525399813512,,,,,,
7,0.008458909864993647,0.037000000000000005,0.008458909864993647,,,,,,
8,0.008458909864993647,0.037000000000000005,0.008458909864993647,,,,,,
9,0.008458909864993647,0.037000000000000005,0.008458909864993647,,,,,,
10,-0.01,0.038,0.0085,,,,,,
11,-0.04,0.039,0.88,,,,,,
12,-0.054,0.25,-0.014,,,,,,
13,-0.06,0.3,-0.025,,,,,,
14,-0.065,0.35,-0.03,,,,,,
